index,name,family,bank,technical,residual,peak,rms,crest075_db,safety_hit_pct,dc,w0_30_db,w30_80_db,w80_180_db,w180_400_db,w400_750_db,low80_180_db,low180_400_rel_db,low400_750_rel_db,near_peak90_075_pct,tail_rms_db,tail_mean,decay_drop_db
0,Clean Weight,ROUND,CORE,1,1,0.921825,0.108176,9.19865,0,2.07037e-08,-5.98078,-4.27217,-7.11465,-10.3643,-15.1393,-14.4455,-0.34665,-4.74483,0.769444,-83.4083,6.8667e-07,37.4842
1,Club Anchor,ROUND,CORE,1,1,0.922571,0.114788,8.71879,0.0145833,-2.72945e-08,-5.68457,-4.0834,-6.9374,-9.55887,-14.1325,-13.755,0.0398302,-4.27625,1.46944,-82.7108,8.64104e-09,37.6234
2,Deep Concrete,ROUND,CORE,1,1,0.922571,0.109602,9.09439,0.00416667,-2.01268e-08,-5.88835,-4.22917,-7.03749,-10.1974,-14.9413,-14.4579,-0.141947,-4.56565,0.861111,-84.1148,4.25977e-07,38.1039
3,Round Hammer,ROUND,CORE,1,1,0.917297,0.102654,9.55936,0,-3.87831e-10,-6.57554,-4.57336,-7.10997,-11.0014,-15.9569,-15.1304,-0.776082,-5.71222,0.527778,-94.3866,-7.46818e-08,43.7204
4,Dark Pulse,ROUND,CORE,1,1,0.922571,0.115155,8.74735,0.0145833,-9.03932e-09,-5.85028,-4.17761,-6.77731,-9.70935,-14.0593,-14.3867,0.122796,-4.03164,1.03333,-79.5042,-1.46709e-07,36.2449
5,Tight Basement,ROUND,CORE,1,1,0.922571,0.110174,9.0703,0.00208333,-1.37277e-08,-6.3428,-4.26112,-6.85045,-10.1637,-14.823,-15.2433,-0.142045,-4.76489,0.855556,-89.8807,-3.15287e-07,42.1606
6,Sub Foundation,ROUND,CORE,1,1,0.922571,0.106522,9.22682,0.01875,-4.22403e-08,-5.92192,-4.22624,-6.85177,-10.4441,-15.8028,-15.0176,-0.317057,-5.47705,1.075,-107.532,-1.48588e-08,51.2121
7,Warm Reactor,ROUND,CORE,1,1,0.922571,0.110081,9.01594,0.0208333,-5.27301e-08,-5.84036,-4.19276,-6.81882,-10.1604,-14.9462,-14.6975,-0.12447,-4.81721,1.09167,-94.5132,-1.80323e-08,44.2513
8,Black Drum,ROUND,CORE,1,1,0.922571,0.117899,8.67685,0.00625,4.59815e-09,-6.1884,-4.38393,-6.50156,-9.66751,-13.6783,-15.3194,0.306946,-3.5238,0.941667,-73.7281,-5.75095e-07,33.7309
9,Sub Vault,ROUND,CORE,1,1,0.922571,0.114735,8.71964,0.03125,-7.3019e-08,-5.96942,-4.17217,-6.62328,-9.60564,-14.2513,-14.9818,0.24501,-4.10938,1.16111,-89.2681,1.81723e-07,41.904
